# Constructed from biom file
OTU ID	sample_006A	sample_006B	sample_006C	sample_006X	sample_007A	sample_007B	sample_007C	sample_007X	sample_031A	sample_031B	sample_031C	sample_031X	sample_044A	sample_044B	sample_044C	sample_044X	sample_049A	sample_049B	sample_049C	sample_049X	sample_055A	sample_055B	sample_055C	sample_055X	sample_069A	sample_069B	sample_069C	sample_069X	sample_106A	sample_106B	sample_106C	sample_106X	sample_110A	sample_110B	sample_110C	sample_110X	sample_116A	sample_116B	sample_116C	sample_116X
68279edbcc2b05945e22eebcf0a46c5b	0.0	0.0	4.0	12.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1777.0	8.0	37609.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
71a96eadebaa5ce0628370633681a208	0.0	1.0	0.0	13.0	1.0	1.0	32.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	129.0	64.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	1.0	172.0	20824.0	1208.0	14.0	0.0	0.0	0.0	151.0	0.0	37.0	0.0	35.0
08f55b866c61fd6c3104d94c26230721	0.0	0.0	0.0	0.0	0.0	0.0	17.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7720.0	10257.0	1167.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0c39fbe939289e56405564ea563206a6	0.0	0.0	0.0	15.0	0.0	16254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1034.0	0.0	0.0	0.0	0.0	2.0	106.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	45.0
9510b4c5e539f4e3b3cf298e5f83593c	0.0	0.0	1.0	0.0	2468.0	10101.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f27d522a02293c8d066347e9d5592a6a	530.0	53.0	111.0	414.0	2.0	0.0	0.0	22.0	2723.0	394.0	1360.0	20.0	188.0	103.0	1852.0	68.0	62.0	39.0	114.0	418.0	53.0	464.0	174.0	142.0	18.0	10.0	27.0	0.0	28.0	183.0	37.0	152.0	0.0	147.0	92.0	91.0	239.0	106.0	197.0	576.0
30d4568c0e4e754c82a8e4b9aceea677	0.0	0.0	0.0	0.0	0.0	0.0	24.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	1852.0	2568.0	3825.0	18.0	0.0	0.0	0.0	26.0	0.0	4.0	0.0	0.0	52.0	2438.0	165.0	0.0	0.0	27.0	0.0	27.0	0.0	0.0	0.0	10.0
c356877774a83cb253d71d951227cb25	0.0	0.0	0.0	0.0	1042.0	8337.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87c6e21a0a0303eea1e98bb8b21f43f4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	887.0	9.0	7157.0	0.0	0.0	553.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74b7bb77d0c5960957a5ccba05151f55	0.0	0.0	0.0	0.0	1.0	8511.0	11.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
